Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
1659,1961,530,66490
1461,1752,210,39820
1340,1609,720,54010
1451,1748,620,53730
1770,2111,450,46620
1442,1733,760,45260
1542,1858,1030,72240
1261,1507,1020,37720
1090,1321,680,46310
1030,1235,1130,44150
1187,1439,1090,71280
1751,2098,720,57620
1746,2064,1050,60470
1615,1931,1160,59130
1469,1756,770,66360
1644,1950,790,78870
1578,1907,1440,77250
1703,2045,670,38170
1438,1731,1030,63540
1940,2340,980,40190
1421,1700,370,43460
1458,1746,690,68890
1719,2065,950,52780
1449,1752,620,50680
1234,1488,840,41880
1732,2073,820,70050
1475,1777,1100,25820
1390,1648,980,60530
1642,1943,710,78100
1715,2071,650,84860
1439,1746,990,80140
1250,1508,990,14920
1331,1608,880,60460
1784,2163,620,74560
1375,1648,1020,72430
1871,2230,700,45460
1442,1744,610,41570
1174,1411,1080,62870
1839,2204,1010,55170
1270,1516,10,45480
1435,1725,1250,49550
965,1152,600,48140
1665,2001,730,67640
1780,2117,780,39730
1009,1194,520,35800
1227,1471,870,49270
1769,2087,690,66510
1660,1982,910,62530
1472,1776,1260,59980
1408,1688,1040,76350
1514,1820,910,81820
1565,1880,1300,57830
1074,1288,320,70450
1864,2240,530,67000
1570,1898,980,64090
1417,1701,740,48670
1734,2060,1240,66210
1470,1763,1080,83660
1761,2104,1080,70770
1756,2070,460,53870
1704,2045,300,71300
2011,2391,530,46100
1472,1748,600,49100
1310,1561,860,65920
1544,1821,590,58660
1707,2052,920,69130
1881,2262,570,49080
1416,1681,290,72710
1631,1941,650,33430
1318,1576,710,42430
1692,2019,850,56650
1152,1380,530,33580
891,1073,630,67370
1468,1749,700,71780
1539,1833,650,84840
1635,1956,720,82070
1267,1520,450,26770
1250,1475,1390,65560
1720,2044,960,38660
1462,1761,600,65660
1431,1711,620,40700
1539,1858,1020,88910
1441,1723,330,57860
1572,1884,1410,42670
1287,1525,1200,90180
1468,1760,280,51280
1931,2342,940,97260
1252,1506,850,39650
1238,1468,960,45720
1479,1758,420,42060
1590,1912,830,65350
2169,2617,600,67080
1838,2205,400,54030
1385,1655,760,56360
1921,2305,1470,77120
1975,2385,500,50810
1853,2235,1120,60960
1816,2171,1160,61180
1785,2147,820,63660
1579,1899,1140,41190
1096,1321,900,78420
1919,2294,760,65580
1262,1500,1170,89080
1374,1655,1080,94170
1309,1587,1000,50950
1207,1434,690,65180
1692,2031,810,69310
1929,2311,630,79210
1573,1878,650,23740
1415,1700,920,36330
1162,1382,1260,51700
1485,1787,800,62950
1897,2248,1330,56010
1607,1927,940,45080
1909,2287,1210,46830
1274,1503,660,64750
1157,1379,770,80780
1712,2046,460,31180
1500,1798,860,56710
1682,2017,780,49390
1441,1727,890,66000
1525,1835,900,32770
1408,1669,530,46580
1947,2333,790,79780
1164,1390,370,35510
1787,2137,610,80970
1871,2241,500,61150
1718,2051,750,49210
1365,1636,980,79950
1368,1654,530,68740
1342,1595,910,57480
1076,1270,620,72630
1396,1672,1170,50070
1713,2071,900,40490
1370,1638,980,51850
1667,1993,740,42840
1638,1972,810,60940
1581,1905,810,62280
1795,2187,300,76530
1179,1412,790,85130
1978,2374,800,48590
1688,2042,760,73080
1214,1456,530,48950
1504,1805,540,48560
1498,1770,620,59380
1462,1762,1010,51190
1442,1750,130,58920
1250,1486,730,50360
1229,1480,830,38070
1936,2300,1060,49170
1369,1629,770,39740
1662,1986,70,63730
1548,1855,670,85330
1649,1963,490,27410
1393,1663,670,37320
1450,1734,380,71120
1613,1921,1200,72800
1408,1696,350,34410
775,932,1090,42530
1275,1534,1230,54300
1740,2078,680,50780
1372,1657,580,45020
1414,1723,680,69600
2044,2474,340,80340
1823,2176,700,37810
955,1133,580,46140
1465,1763,680,99570
1331,1606,630,38650
1232,1487,860,49800
1481,1765,490,69910
1343,1599,870,44910
1539,1837,990,78470
1007,1207,670,47460
1762,2145,490,33460
1527,1832,580,44090
1356,1619,700,42620
1536,1848,670,69450
1605,1902,390,73120
1704,2032,590,48300
1626,1941,1350,58090
1612,1939,840,74250
1174,1396,1100,40930
1923,2339,950,70930
1702,2053,950,64670
1398,1692,650,77420
1437,1717,230,32330
1524,1796,1060,41080
1660,1985,1180,42860
1302,1569,710,68450
1666,2000,480,39730
1391,1649,810,83750
1778,2148,1140,69940
1462,1770,1070,67710
1751,2115,790,67360
1652,1982,690,52460
1841,2215,610,88760
1496,1791,1240,67030
1504,1827,840,78230
1524,1808,460,62270
1148,1371,940,49760
1468,1744,590,73660
1310,1558,890,72320
1321,1579,770,68890
992,1192,900,34180
1540,1857,1020,58260
1807,2149,910,38120
1526,1853,660,49070
1406,1677,480,61660
1703,2055,1080,37830
1575,1872,690,52270
1309,1572,510,52280
1488,1807,1030,70810
1658,1988,370,71530
1863,2245,640,77260
1458,1725,750,75550
1604,1909,370,33730
1575,1899,840,66270
1525,1829,840,55820
1451,1737,890,68430
1390,1687,620,73990
1442,1742,310,62800
1620,1922,550,33740
1251,1527,380,63830
1318,1606,1200,24410
1647,1962,800,70020
